parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
indpb,0.2,1,0.0729182952,0.0815000000,0.0675675676,0.0096153846,2672
indpb,0.2,2,0.0718696466,0.0785000000,0.0810810811,0.0096153846,3747
indpb,0.2,3,0.0691047817,0.0780000000,0.0574324324,0.0096153846,4774
indpb,0.2,4,0.0652912682,0.0745000000,0.0472972973,0.0096153846,5814
indpb,0.2,5,0.0640291060,0.0725000000,0.0506756757,0.0096153846,6827
indpb,0.2,6,0.0632912682,0.0720000000,0.0472972973,0.0096153846,7956
indpb,0.2,7,0.0617534304,0.0705000000,0.0439189189,0.0096153846,9037
indpb,0.2,8,0.0610777547,0.0705000000,0.0371621622,0.0096153846,10061
indpb,0.2,9,0.0606777547,0.0700000000,0.0371621622,0.0096153846,11150
indpb,0.2,10,0.0606777547,0.0700000000,0.0371621622,0.0096153846,12250
indpb,0.2,11,0.0606777547,0.0700000000,0.0371621622,0.0096153846,13471
indpb,0.2,12,0.0599399168,0.0695000000,0.0337837838,0.0096153846,14544
indpb,0.2,13,0.0598777547,0.0690000000,0.0371621622,0.0096153846,15625
indpb,0.2,14,0.0595399168,0.0690000000,0.0337837838,0.0096153846,16710
indpb,0.2,15,0.0595399168,0.0690000000,0.0337837838,0.0096153846,17769
indpb,0.2,16,0.0591399168,0.0685000000,0.0337837838,0.0096153846,18777
indpb,0.2,17,0.0591399168,0.0685000000,0.0337837838,0.0096153846,19855
indpb,0.2,18,0.0591399168,0.0685000000,0.0337837838,0.0096153846,21019
indpb,0.2,19,0.0591399168,0.0685000000,0.0337837838,0.0096153846,22122
indpb,0.2,20,0.0591399168,0.0685000000,0.0337837838,0.0096153846,23162
indpb,0.2,21,0.0591399168,0.0685000000,0.0337837838,0.0096153846,24206
indpb,0.2,22,0.0587399168,0.0680000000,0.0337837838,0.0096153846,25225
indpb,0.2,23,0.0587399168,0.0680000000,0.0337837838,0.0096153846,26364
indpb,0.2,24,0.0587399168,0.0680000000,0.0337837838,0.0096153846,27463
indpb,0.2,25,0.0587399168,0.0680000000,0.0337837838,0.0096153846,28538
indpb,0.2,26,0.0587399168,0.0680000000,0.0337837838,0.0096153846,29274
indpb,0.2,27,0.0587399168,0.0680000000,0.0337837838,0.0096153846,30032
indpb,0.2,28,0.0587399168,0.0680000000,0.0337837838,0.0096153846,30779
indpb,0.2,29,0.0587399168,0.0680000000,0.0337837838,0.0096153846,31527
indpb,0.2,30,0.0587399168,0.0680000000,0.0337837838,0.0096153846,32338
indpb,0.2,31,0.0587399168,0.0680000000,0.0337837838,0.0096153846,33105
indpb,0.2,32,0.0587399168,0.0680000000,0.0337837838,0.0096153846,33918
indpb,0.2,33,0.0584020790,0.0680000000,0.0304054054,0.0096153846,34522
indpb,0.2,34,0.0584020790,0.0680000000,0.0304054054,0.0096153846,35166
indpb,0.2,35,0.0584020790,0.0680000000,0.0304054054,0.0096153846,35631
indpb,0.2,36,0.0584020790,0.0680000000,0.0304054054,0.0096153846,36075
indpb,0.2,37,0.0584020790,0.0680000000,0.0304054054,0.0096153846,36534
indpb,0.2,38,0.0584020790,0.0680000000,0.0304054054,0.0096153846,36848
indpb,0.2,39,0.0584020790,0.0680000000,0.0304054054,0.0096153846,37196
indpb,0.2,40,0.0584020790,0.0680000000,0.0304054054,0.0096153846,37514
indpb,0.2,41,0.0584020790,0.0680000000,0.0304054054,0.0096153846,37832
indpb,0.2,42,0.0584020790,0.0680000000,0.0304054054,0.0096153846,38142
indpb,0.2,43,0.0584020790,0.0680000000,0.0304054054,0.0096153846,38452
indpb,0.2,44,0.0584020790,0.0680000000,0.0304054054,0.0096153846,38756
indpb,0.2,45,0.0584020790,0.0680000000,0.0304054054,0.0096153846,39064
indpb,0.2,46,0.0584020790,0.0680000000,0.0304054054,0.0096153846,39380
indpb,0.2,47,0.0584020790,0.0680000000,0.0304054054,0.0096153846,39652
indpb,0.2,48,0.0584020790,0.0680000000,0.0304054054,0.0096153846,39804
indpb,0.2,49,0.0584020790,0.0680000000,0.0304054054,0.0096153846,39959
indpb,0.2,50,0.0584020790,0.0680000000,0.0304054054,0.0096153846,40124
indpb,0.2,51,0.0584020790,0.0680000000,0.0304054054,0.0096153846,40285
