parameter,value,generation,best_negative_share
population_size,340.0,88,0.0399950069
population_size,340.0,89,0.0399950069
population_size,340.0,90,0.0399950069
population_size,340.0,91,0.0399950069
population_size,340.0,92,0.0399950069
population_size,340.0,93,0.0399700412
population_size,340.0,94,0.0399700412
population_size,340.0,95,0.0399700412
population_size,340.0,96,0.0399700412
population_size,340.0,97,0.0394956934
population_size,340.0,98,0.0394956934
population_size,340.0,99,0.0394956934
population_size,340.0,100,0.0394956934
population_size,340.0,101,0.0394956934
population_size,340.0,102,0.0394956934
population_size,340.0,103,0.0394956934
population_size,340.0,104,0.0394956934
population_size,340.0,105,0.0394956934
population_size,340.0,106,0.0394956934
population_size,340.0,107,0.0394956934
population_size,340.0,108,0.0394956934
population_size,340.0,109,0.0394956934
population_size,340.0,110,0.0394956934
population_size,340.0,111,0.0394956934
population_size,340.0,112,0.0394956934
population_size,340.0,113,0.0394956934
population_size,340.0,114,0.0394956934
population_size,340.0,115,0.0394956934
population_size,340.0,116,0.0394956934
population_size,340.0,117,0.0394956934
population_size,340.0,118,0.0394956934
population_size,340.0,119,0.0394956934
population_size,340.0,120,0.0394956934
population_size,340.0,121,0.0394956934
population_size,340.0,122,0.0393708651
population_size,340.0,123,0.0393708651
population_size,340.0,124,0.0393708651
population_size,340.0,125,0.0393708651
population_size,340.0,126,0.0393708651
population_size,340.0,127,0.0393708651
population_size,340.0,128,0.0393708651
population_size,340.0,129,0.0393708651
population_size,340.0,130,0.0393708651
population_size,340.0,131,0.0393708651
population_size,340.0,132,0.0393708651
population_size,340.0,133,0.0393708651
population_size,340.0,134,0.0393708651
population_size,340.0,135,0.0393708651
population_size,340.0,136,0.0392460367
population_size,340.0,137,0.0392460367
population_size,340.0,138,0.0390712770
population_size,340.0,139,0.0390712770
population_size,340.0,140,0.0390712770
population_size,340.0,141,0.0390712770
population_size,340.0,142,0.0390712770
population_size,340.0,143,0.0390712770
population_size,340.0,144,0.0390712770
population_size,340.0,145,0.0390712770
population_size,340.0,146,0.0390712770
population_size,340.0,147,0.0390712770
population_size,340.0,148,0.0390712770
population_size,340.0,149,0.0390712770
population_size,340.0,150,0.0390712770
population_size,340.0,151,0.0390712770
population_size,340.0,152,0.0390712770
population_size,340.0,153,0.0390712770
population_size,340.0,154,0.0390712770
population_size,340.0,155,0.0390712770
population_size,340.0,156,0.0390712770
population_size,340.0,157,0.0390712770
population_size,340.0,158,0.0390712770
population_size,340.0,159,0.0390712770
population_size,340.0,160,0.0390463113
population_size,340.0,161,0.0389963800
population_size,340.0,162,0.0389963800
population_size,340.0,163,0.0389963800
population_size,340.0,164,0.0389963800
population_size,340.0,165,0.0389963800
population_size,340.0,166,0.0389963800
population_size,340.0,167,0.0389963800
population_size,340.0,168,0.0389963800
population_size,340.0,169,0.0389963800
population_size,340.0,170,0.0389963800
population_size,340.0,171,0.0389963800
population_size,340.0,172,0.0389963800
population_size,340.0,173,0.0389963800
population_size,340.0,174,0.0389963800
population_size,340.0,175,0.0389963800
population_size,340.0,176,0.0381475471
population_size,340.0,177,0.0381475471
population_size,340.0,178,0.0381475471
population_size,340.0,179,0.0381475471
population_size,340.0,180,0.0381475471
population_size,340.0,181,0.0381475471
population_size,340.0,182,0.0381475471
population_size,340.0,183,0.0381475471
population_size,340.0,184,0.0381475471
population_size,340.0,185,0.0381475471
population_size,340.0,186,0.0381475471
population_size,340.0,187,0.0381475471
population_size,340.0,188,0.0381475471
population_size,340.0,189,0.0381475471
population_size,340.0,190,0.0381475471
population_size,340.0,191,0.0381475471
population_size,340.0,192,0.0381475471
population_size,340.0,193,0.0381475471
population_size,340.0,194,0.0380476844
population_size,340.0,195,0.0380476844
population_size,340.0,196,0.0379727874
population_size,340.0,197,0.0379727874
population_size,340.0,198,0.0379727874
population_size,340.0,199,0.0379727874
population_size,340.0,200,0.0379727874
cxpb,0.5,0,0.1480714018
cxpb,0.5,1,0.1463987018
cxpb,0.5,2,0.1445013107
cxpb,0.5,3,0.1376107852
cxpb,0.5,4,0.1272999626
cxpb,0.5,5,0.1272999626
cxpb,0.5,6,0.1272999626
cxpb,0.5,7,0.1270003745
cxpb,0.5,8,0.1205841967
cxpb,0.5,9,0.1172387967
cxpb,0.5,10,0.0646361253
cxpb,0.5,11,0.0646361253
cxpb,0.5,12,0.0643365373
