parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
population_size,320.0,11,0.0587399168,0.0680000000,0.0337837838,0.0096153846,19514
population_size,320.0,12,0.0587399168,0.0680000000,0.0337837838,0.0096153846,21080
population_size,320.0,13,0.0587399168,0.0680000000,0.0337837838,0.0096153846,22666
population_size,320.0,14,0.0587399168,0.0680000000,0.0337837838,0.0096153846,24352
population_size,320.0,15,0.0587399168,0.0680000000,0.0337837838,0.0096153846,25948
population_size,320.0,16,0.0583399168,0.0675000000,0.0337837838,0.0096153846,27547
population_size,320.0,17,0.0583399168,0.0675000000,0.0337837838,0.0096153846,29071
population_size,320.0,18,0.0583399168,0.0675000000,0.0337837838,0.0096153846,30593
population_size,320.0,19,0.0583399168,0.0675000000,0.0337837838,0.0096153846,32190
population_size,320.0,20,0.0583399168,0.0675000000,0.0337837838,0.0096153846,33769
population_size,320.0,21,0.0580020790,0.0675000000,0.0304054054,0.0096153846,35301
population_size,320.0,22,0.0576020790,0.0670000000,0.0304054054,0.0096153846,36758
population_size,320.0,23,0.0576020790,0.0670000000,0.0304054054,0.0096153846,38315
population_size,320.0,24,0.0575399168,0.0665000000,0.0337837838,0.0096153846,39898
population_size,320.0,25,0.0572642412,0.0670000000,0.0270270270,0.0096153846,41477
population_size,320.0,26,0.0572642412,0.0670000000,0.0270270270,0.0096153846,42577
population_size,320.0,27,0.0568020790,0.0660000000,0.0304054054,0.0096153846,43696
population_size,320.0,28,0.0568020790,0.0660000000,0.0304054054,0.0096153846,44785
population_size,320.0,29,0.0568020790,0.0660000000,0.0304054054,0.0096153846,45939
population_size,320.0,30,0.0568020790,0.0660000000,0.0304054054,0.0096153846,46707
population_size,320.0,31,0.0568020790,0.0660000000,0.0304054054,0.0096153846,47647
population_size,320.0,32,0.0568020790,0.0660000000,0.0304054054,0.0096153846,48579
population_size,320.0,33,0.0568020790,0.0660000000,0.0304054054,0.0096153846,49487
population_size,320.0,34,0.0568020790,0.0660000000,0.0304054054,0.0096153846,50165
population_size,320.0,35,0.0568020790,0.0660000000,0.0304054054,0.0096153846,50849
population_size,320.0,36,0.0568020790,0.0660000000,0.0304054054,0.0096153846,51509
population_size,320.0,37,0.0568020790,0.0660000000,0.0304054054,0.0096153846,52190
population_size,320.0,38,0.0568020790,0.0660000000,0.0304054054,0.0096153846,52799
population_size,320.0,39,0.0568020790,0.0660000000,0.0304054054,0.0096153846,53435
population_size,320.0,40,0.0568020790,0.0660000000,0.0304054054,0.0096153846,54101
population_size,320.0,41,0.0568020790,0.0660000000,0.0304054054,0.0096153846,54770
population_size,320.0,42,0.0568020790,0.0660000000,0.0304054054,0.0096153846,55445
population_size,320.0,43,0.0568020790,0.0660000000,0.0304054054,0.0096153846,56099
population_size,320.0,44,0.0568020790,0.0660000000,0.0304054054,0.0096153846,56774
population_size,320.0,45,0.0568020790,0.0660000000,0.0304054054,0.0096153846,57455
population_size,320.0,46,0.0568020790,0.0660000000,0.0304054054,0.0096153846,58124
population_size,320.0,47,0.0568020790,0.0660000000,0.0304054054,0.0096153846,58568
population_size,320.0,48,0.0568020790,0.0660000000,0.0304054054,0.0096153846,58803
population_size,320.0,49,0.0568020790,0.0660000000,0.0304054054,0.0096153846,59021
population_size,320.0,50,0.0568020790,0.0660000000,0.0304054054,0.0096153846,59255
population_size,320.0,51,0.0568020790,0.0660000000,0.0304054054,0.0096153846,59461
population_size,320.0,52,0.0568020790,0.0660000000,0.0304054054,0.0096153846,59682
population_size,420.0,0,0.0701804574,0.0785000000,0.0641891892,0.0096153846,2940
population_size,420.0,1,0.0697804574,0.0780000000,0.0641891892,0.0096153846,4892
population_size,420.0,2,0.0667669439,0.0755000000,0.0540540541,0.0096153846,6988
population_size,420.0,3,0.0626426195,0.0695000000,0.0608108108,0.0096153846,8977
population_size,420.0,4,0.0626426195,0.0695000000,0.0608108108,0.0096153846,11005
population_size,420.0,5,0.0619047817,0.0690000000,0.0574324324,0.0096153846,13121
population_size,420.0,6,0.0619939709,0.0670000000,0.0743243243,0.0096153846,15177
population_size,420.0,7,0.0590155925,0.0675000000,0.0405405405,0.0096153846,17189
population_size,420.0,8,0.0590155925,0.0675000000,0.0405405405,0.0096153846,19229
population_size,420.0,9,0.0590155925,0.0675000000,0.0405405405,0.0096153846,21318
population_size,420.0,10,0.0590155925,0.0675000000,0.0405405405,0.0096153846,23337
population_size,420.0,11,0.0582777547,0.0670000000,0.0371621622,0.0096153846,25364
population_size,420.0,12,0.0582777547,0.0670000000,0.0371621622,0.0096153846,27432
population_size,420.0,13,0.0579399168,0.0670000000,0.0337837838,0.0096153846,29384
population_size,420.0,14,0.0579399168,0.0670000000,0.0337837838,0.0096153846,31473
population_size,420.0,15,0.0579399168,0.0670000000,0.0337837838,0.0096153846,33481
population_size,420.0,16,0.0579399168,0.0670000000,0.0337837838,0.0096153846,35556
population_size,420.0,17,0.0579399168,0.0670000000,0.0337837838,0.0096153846,37624
population_size,420.0,18,0.0579399168,0.0670000000,0.0337837838,0.0096153846,39743
population_size,420.0,19,0.0579399168,0.0670000000,0.0337837838,0.0096153846,41738
population_size,420.0,20,0.0579399168,0.0670000000,0.0337837838,0.0096153846,43808
population_size,420.0,21,0.0579399168,0.0670000000,0.0337837838,0.0096153846,45889
population_size,420.0,22,0.0579399168,0.0670000000,0.0337837838,0.0096153846,47887
population_size,420.0,23,0.0579399168,0.0670000000,0.0337837838,0.0096153846,49902
population_size,420.0,24,0.0579399168,0.0670000000,0.0337837838,0.0096153846,51839
population_size,420.0,25,0.0571399168,0.0660000000,0.0337837838,0.0096153846,54006
population_size,420.0,26,0.0571399168,0.0660000000,0.0337837838,0.0096153846,55463
population_size,420.0,27,0.0571399168,0.0660000000,0.0337837838,0.0096153846,56913
population_size,420.0,28,0.0571399168,0.0660000000,0.0337837838,0.0096153846,58372
population_size,420.0,29,0.0571399168,0.0660000000,0.0337837838,0.0096153846,59476
population_size,420.0,30,0.0571399168,0.0660000000,0.0337837838,0.0096153846,60711
population_size,420.0,31,0.0571399168,0.0660000000,0.0337837838,0.0096153846,61313
population_size,420.0,32,0.0571399168,0.0660000000,0.0337837838,0.0096153846,61933
population_size,420.0,33,0.0571399168,0.0660000000,0.0337837838,0.0096153846,62501
population_size,420.0,34,0.0571399168,0.0660000000,0.0337837838,0.0096153846,63097
population_size,420.0,35,0.0571399168,0.0660000000,0.0337837838,0.0096153846,63707
population_size,420.0,36,0.0571399168,0.0660000000,0.0337837838,0.0096153846,64307
population_size,420.0,37,0.0571399168,0.0660000000,0.0337837838,0.0096153846,64603
population_size,420.0,38,0.0571399168,0.0660000000,0.0337837838,0.0096153846,64918
population_size,420.0,39,0.0571399168,0.0660000000,0.0337837838,0.0096153846,65230
population_size,420.0,40,0.0571399168,0.0660000000,0.0337837838,0.0096153846,65507
population_size,420.0,41,0.0571399168,0.0660000000,0.0337837838,0.0096153846,65813
population_size,420.0,42,0.0571399168,0.0660000000,0.0337837838,0.0096153846,66112
population_size,420.0,43,0.0571399168,0.0660000000,0.0337837838,0.0096153846,66394
population_size,420.0,44,0.0571399168,0.0660000000,0.0337837838,0.0096153846,66696
population_size,420.0,45,0.0571399168,0.0660000000,0.0337837838,0.0096153846,66989
